,col_name,0_min,0_max,1_min,1_max,2_min,2_max,3_min,3_max,4_min,4_max,5_min,5_max,6_min,6_max,7_min,7_max
77,Cases_STATS_min,0.0,0.0,0.0,0.0,0.0,6e-06,6e-06,4.6e-05,4.6e-05,0.000179,0.000179,0.000493,0.000493,0.001391,0.001391,0.114434
78,Cases_STATS_max,1e-06,4.5e-05,4.5e-05,0.000142,0.000142,0.000313,0.000313,0.000656,0.000656,0.00118575,0.00118575,0.002322,0.002322,0.005802,0.005802,0.249524
79,Cases_STATS_avg,3.33333333333333e-08,1.4833333333333334e-05,1.4833333333333334e-05,4.866666666666666e-05,4.866666666666666e-05,0.00013169166666666666,0.00013169166666666666,0.0003072333333333333,0.0003072333333333333,0.0006183833333333333,0.0006183833333333333,0.00137925,0.00137925,0.0034140916666666665,0.0034140916666666665,0.19763003333333332
80,Cases_STATS_std,0.1825741858350553,10.707661779104761,10.707661779104761,31.11462818881261,31.11462818881261,67.11122799170508,67.11122799170508,126.27783635311064,126.27783635311064,222.4053269637761,222.4053269637761,413.8060419136649,413.8060419136649,1060.8064226964927,1060.8064226964927,39248.16457776068
81,Cases_STATS_var,0.0333333333333333,114.65402298850574,114.65402298850574,968.1201149425286,968.1201149425286,4503.917241379311,4503.917241379311,15946.091954022988,15946.091954022988,49464.129885057475,49464.129885057475,171235.45977011492,171235.45977011492,1125310.267816092,1125310.267816092,1540418422.7229886
82,Cases_STATS_percentile_25,0.0,4e-06,4e-06,1.825e-05,1.825e-05,7e-05,7e-05,0.00019,0.00019,0.000423,0.000423,0.001038625,0.001038625,0.0025186875,0.0025186875,0.18894725
83,Cases_STATS_percentile_50,0.0,1.05e-05,1.05e-05,3.95e-05,3.95e-05,0.000113,0.000113,0.000286,0.000286,0.0006085,0.0006085,0.001304,0.001304,0.0033275,0.0033275,0.19745
84,Cases_STATS_percentile_75,0.0,1.875e-05,1.875e-05,6.55e-05,6.55e-05,0.00016975,0.00016975,0.0003835,0.0003835,0.000755625,0.000755625,0.0016275,0.0016275,0.0040588125,0.0040588125,0.22112725
85,Cases_STATS_entropy,0.0,2.952008474446558,2.952008474446558,3.1442854421789654,3.1442854421789654,3.2348553412270276,3.2348553412270276,3.2890571502810464,3.2890571502810464,3.327493359315221,3.327493359315221,3.3596752644065804,3.3596752644065804,3.3806103502183555,3.3806103502183555,3.4007281375470377
86,Death_STATS_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,6e-06,6e-06,2.9e-05,2.9e-05,0.00135
87,Death_STATS_max,1e-06,2e-06,2e-06,4e-06,4e-06,7e-06,7e-06,1.3e-05,1.3e-05,2.5e-05,2.5e-05,5.8e-05,5.8e-05,0.000175,0.000175,0.004143
88,Death_STATS_avg,3.33333333333333e-08,2.0000000000000002e-07,2.0000000000000002e-07,6.333333333333333e-07,6.333333333333333e-07,1.8000000000000001e-06,1.8000000000000001e-06,4.233333333333333e-06,4.233333333333333e-06,1.0666666666666666e-05,1.0666666666666666e-05,2.7216666666666666e-05,2.7216666666666666e-05,8.618333333333333e-05,8.618333333333333e-05,0.002262766666666667
89,Death_STATS_std,0.1825741858350553,0.4497764451088036,0.4497764451088036,0.9352607356658148,0.9352607356658148,1.6386144974533725,1.6386144974533725,3.0618152530285294,3.0618152530285294,5.298882984577842,5.298882984577842,11.239222167311516,11.239222167311516,34.52457477879479,34.52457477879479,982.9745667363802
90,Death_STATS_var,0.0333333333333333,0.2022988505747126,0.2022988505747126,0.8747126436781612,0.8747126436781612,2.685057471264368,2.685057471264368,9.374712643678158,9.374712643678158,28.07816091954023,28.07816091954023,126.3201149425287,126.3201149425287,1191.9462643678162,1191.9462643678162,966238.9988505744
91,Death_STATS_percentile_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,6e-06,6e-06,1.725e-05,1.725e-05,5.95e-05,5.95e-05,0.001837
92,Death_STATS_percentile_50,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,3e-06,3e-06,9e-06,9e-06,2.45e-05,2.45e-05,7.9e-05,7.9e-05,0.0025305
93,Death_STATS_percentile_75,0.0,0.0,0.0,1e-06,1e-06,2.75e-06,2.75e-06,5.75e-06,5.75e-06,1.325e-05,1.325e-05,3.35e-05,3.35e-05,0.00010375,0.00010375,0.002901
94,Death_STATS_entropy,0.0,1.464816384890813,1.464816384890813,2.2459520807289133,2.2459520807289133,2.760940823497497,2.760940823497497,3.090658913942904,3.090658913942904,3.2220826382206216,3.2220826382206216,3.2985886253409498,3.2985886253409498,3.3582359131209505,3.3582359131209505,3.400573700786061
95,GDP,0.0,23246.0,23246.0,51999.0,51999.0,77883.0,77883.0,165730.0,165730.0,282588.0,282588.0,399064.0,399064.0,1088768.0,1088768.0,20807269.0
